,name,name_decoded,gender
491,Araceli,Araceli,1.0
492,Eródica,Erodica,1.0
493,Consolación,Consolacion,1.0
494,Germán,German,-1.0
495,Ildefonso,Ildefonso,-1.0
496,Camino,Camino,1.0
497,Jezabel,Jezabel,1.0
498,Nemesio,Nemesio,-1.0
499,Rubén-Dario,Ruben-Dario,-1.0
500,Fabián,Fabian,-1.0
501,Muriel,Muriel,1.0
502,Aida,Aida,1.0
503,Aleix,Aleix,-1.0
504,Renato,Renato,-1.0
505,Emilia,Emilia,1.0
506,Jofre,Jofre,-1.0
507,Lucio,Lucio,-1.0
508,Melisa,Melisa,1.0
509,Marcial,Marcial,-1.0
510,Krystel,Krystel,1.0
511,Celia,Celia,1.0
512,Felisa,Felisa,1.0
513,Jazmina,Jazmina,1.0
514,Tiburcio,Tiburcio,-1.0
515,Ángeles,Angeles,1.0
516,Benjamín,Benjamin,-1.0
517,Elpidio,Elpidio,-1.0
518,Eliana,Eliana,1.0
519,Reinaldo,Reinaldo,-1.0
520,Erika,Erika,1.0
521,Basilio,Basilio,-1.0
522,Judith,Judith,1.0
523,Jacinto,Jacinto,-1.0
524,Abdelali,Abdelali,-1.0
525,Lluis,Lluis,-1.0
526,Zenaida,Zenaida,1.0
527,Bruno,Bruno,-1.0
528,Obdulia,Obdulia,1.0
529,Fátima,Fatima,1.0
530,Oriol,Oriol,-1.0
531,Efrén,Efren,-1.0
532,Peter,Peter,-1.0
533,Galo,Galo,-1.0
534,Encarna,Encarna,1.0
535,Simón,Simon,-1.0
536,Leandros,Leandros,-1.0
